Fonc;Pr_NA138;Coef
54;GC28A;0.0149426289700753
55;GC22B;0.02730199613651
55;GC25E;0.167553019064887
55;GC26C;0.00695087651623214
55;GC27B;0.623283951594621
55;GC28A;0.818676794565816
55;GC28B;1
55;GC33Z;0.0492753623188406
55;GN77Z;0.221556042240389
55;GS95Z;0.0474907108770225
56;GB08Z;1
56;GC13Z;0.0204820270150182
56;GC16Z;0.0844404051235444
56;GC17B;0.171272877683372
56;GC20A;0.0683643334542252
56;GC20B;0.247544379399426
56;GC20C;0.111870205056578
56;GC22A;0.059839211334758
56;GC22B;0.201545396007727
56;GC23B;0.0203307405379944
56;GC24B;1
56;GC25E;0.0311838635239822
56;GC32C;0.0617403078517238
56;GN77Z;0.118163222528207
56;GN78Z;0.58
56;GN81Z;0.804024992577798
56;GS96Z;0.0190768249588928
56;GT97Z;1
60;GC10H;0.0594291289111172
60;GC14Z;0.00138433225221168
60;GC20A;0.429951815968085
60;GC21Z;0.961930688102086
60;GC22A;0.0220445632739881
60;GC26F;1
60;GC30E;0.0127736449291671
60;GC32B;0.946692080037445
60;GC33Z;0.088695652173913
60;GN77Z;0.0221556042240389
60;GQ86M;1
60;GQ86N;1
60;GS96Z;0.00899055079064168
71;GC29A;0.901699973335649
71;GC30E;0.727243751558689
72;GC19Z;0.824574633235088
72;GC22A;0.906177680167795
72;GC23A;0.0664573521716379
72;GC25E;0.0193779187956706
72;GC26E;0.0898141567788099
72;GC27B;0.209648690370381
72;GC29A;0.0526410823026895
72;GC29B;1
72;GC30E;0.181810937889672
72;GG45Z;1
72;GH52Z;0.992843511450382
72;GL68R;0.0153233537429211
72;GM71Z;1
72;GN77Z;0.243944749224798
72;GP85M;0.214808151825185
73;GH49A;1
73;GH49B;0.897098487944422
73;GH49C;1
73;GH50Z;1
73;GH51Z;1
73;GN79Z;0.0475117201586729
81;GH52Z;0.00715648854961832
81;GH53Z;1
82;GC26C;0.950350882026913
82;GS95Z;0.0185960775048312
83;GJ61Z;0.905431581649001
83;GN77Z;0.0960076183041684
91;GC20C;0.0149659588537344
91;GC26A;1
91;GC26B;0.86
91;GC26C;0.0426982414568546
91;GC26D;0.822765492877296
91;GC26E;0.00183294197507775
91;GC26G;1
91;GC27B;0.0140339255063817
91;GC28A;0.116027170919772
91;GJ58Z;0.0240590663042558
91;GJ59Z;0.522935010725837
91;GJ62Z;1
91;GN77Z;0.00928797045196638
91;GS95Z;0.302378505849863
92;GC29A;0.0456589443616613
92;GC30A;1
92;GC30C;1
92;GC32A;0.0390029372297864
92;GC32C;0.00153189886818559
92;GC33Z;0.862028985507246
92;GM75Z;0.03
92;GR93M;0.0185157556953486
92;GS95Z;0.100156694743928
93;GA01Z;0.189481486149719
93;GC10K;1
93;GC13Z;0.0366413623033858
93;GC15Z;0.0592113746167609
93;GC16Z;0.0281468017078481
93;GC17B;0.000330491687569492
93;GC20A;0.398943059945081
93;GC20C;0.151380201480402
93;GC21Z;0.0380693118979142
93;GC22A;0.000732426087328739
93;GC22B;0.010920798454604
93;GC23A;0.0933542647828362
93;GC23B;0.345444360988402
93;GC25C;1
93;GC26D;0.177234507122704
93;GC27A;0.00381997123107394
93;GC27B;0.0071566337894877
93;GC32B;0.010661583992511
93;GC32C;0.710739523959621
93;GJ58Z;0.0994071039724034
93;GM75Z;0.97
93;GR93M;0.0211889991096112
93;GS95Z;0.0333855649146426
93;GS96Z;0.0509649038397378
94;GH49B;0.102901512055578
94;GJ58Z;0.00293194785594937
94;GJ59Z;0.472701516228225
94;GJ60Z;1
94;GJ61Z;0.0945684183509986
94;GM74Z;1
94;GN77Z;0.163336369090213
94;GN79Z;0.220519293184277
94;GN82Z;0.924731182795699
94;GP85M;0.0375331162977455
94;GR90M;1
94;GR90N;1
94;GR91M;1
94;GR91N;1
94;GR92Z;1
94;GR93M;0.96029524519504
94;GR93N;1
95;GC17B;0.232931506407459
95;GC20C;0.0637092366551284
95;GC22B;0.0873663876368319
95;GC25E;0.0316331749171291
95;GC26B;0.14
95;GC26E;0.0175083293504838
95;GC28A;0.0290067927299431
95;GC32C;0.0754759767392933
95;GJ58Z;0.838960275966151
95;GJ59Z;0.00436347304593846
96;GN79Z;0.73196898665705
100;GP85M;0.747658731877069
100;GP85N;1
111;GC10H;0.0260536439010324
111;GI56Z;1
112;GI55Z;1
121;GC17B;0.54459441562532
121;GC20B;0.752455620600574
121;GC20C;0.017874132102589
121;GC22B;0.070985189954926
121;GC25E;0.0968384978847316
121;GC27A;0.0823761908717684
121;GC28A;0.0213466128143932
121;GC32C;0.0514755215278334
121;GS96Z;0.612002244828151
123;GC15Z;0.236845498467043
123;GC20C;0.115125874644913
123;GC23B;0.200787386538682
123;GC25E;0.00121943849239053
123;GC26E;0.890844571895628
123;GC27B;0.0313706581073252
123;GC30E;0.0781716656224719
123;GC31Z;0.0189388190795282
123;GC32A;0.960997062770214
123;GC32B;0.0426463359700439
123;GC32C;0.0800393368587265
123;GS95Z;0.0725218046419982
124;GN78Z;0.42
124;GQ87M;1
124;GQ87N;1
124;GQ88M;1
124;GQ88N;1
125;GK65Z;1
126;GK64H;1
126;GK64S;1
126;GM69Z;0.0365188522646431
127;GJ58Z;0.0346416059012405
127;GJ63Z;1
127;GL68A;1
127;GM69Z;0.963481147735357
127;GN82Z;0.0752688172043011
127;GO84Z;1
127;GS96Z;0.232658175747006
